,pobreza,P01F03,P15B02,P15B04,P15B06A,P13A02A,P06B01,P06B10A,P06B10B,P09A03B,P09A03C,P09B02B,P09B02C,P09F03B,P09F03C,P09F04B,P09F04C,P09F05B,P09F05C,P09F06B,P09F06C,P09F07B,P09F07C,P09F08B,P09F08C,P09F09B,P09F09C,P10B01,P10B08,P10B20B,P11A05B,P11A06B
2537,No pobre,0.0,0.0,0.0,0.0,0.0,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.25,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,450.0,0.0,0.0,0.0
2538,No pobre,0.0,0.0,0.0,0.0,0.0,7,0.0,7.777777777777778,0.0,0.0,0.0,2.2222222222222223,0.0,5.555555555555555,2.4444444444444446,3.3333333333333335,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,3.3333333333333335,0.1111111111111111,3.3333333333333335,0.7777777777777778,3.3333333333333335,0.2222222222222222,622.2222222222222,0.0,0.0,0.0
2539,No pobre,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,20.0,1.5,0.0,1.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,15.0,1.0,1200.0,0.0,0.0,0.0
2540,No pobre,50.0,0.0,0.0,0.0,0.0,4,0.0,7.5,0.0,0.0,0.0,0.0,0.0,7.5,3.0,2.5,1.25,15.0,0.0,2.5,0.0,0.0,0.0,5.0,1.25,7.5,0.25,700.0,0.0,0.0,0.0
2541,No pobre,0.0,0.0,2000.0,2.0,3.0,6,0.5714285714285714,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.0,8.571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0
2542,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,2600.0,0.0,0.0,0.0
2543,Pobre ext.,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,550.0,0.0,0.0,0.0
2544,No pobre,0.0,0.0,0.0,0.0,1.0,3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,333.3333333333333,0.0,0.0,0.0
2545,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,700.0,0.0,0.0,0.0
2546,Pobre ext.,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
2547,No pobre,0.0,0.0,0.0,0.0,0.0,4,0.0,3.75,0.0,0.0,0.0,0.0,0.0,15.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.5,750.0,0.0,0.0,0.0
2548,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,720.0
2549,No pobre,0.0,0.0,0.0,0.0,0.0,7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,2.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.7142857142857143,1100.0,0.0,0.0,0.0
